Threat Rank,Team,Threat Score,"Squad Elo (avg, 1500 if unrated)",Players Rated (of 5),Top Player,Top Player Elo,Avg Elo of Rated Only,UKTC National Rank,Proven-Results Bonus,Captain,Comments
23,Flapcats and Flackcannons,1583,1573,5,Steve Boothroyd,1659,1573,59,10,Matt Pocock,One of two Flatcaps and Flakcannons squads (club is national #59). NOTE: the two team names are misspelled DIFFERENTLY in this check-in list ('Flapcats and Flackcannons' vs 'Flatcaps and flakcannons') - the club is a single entity. Nick Hansen is US-based.
24,Sofa Meta,1582,1582,5,Reiss Jarvis,1675,1582,,0,Reiss Jarvis,Two Sofa Meta squads here. Not in the national top 100 under this name.
25,Shadowkeepers :: The Clueless,1579,1574,5,Ryan Rees,1667,1574,95,5,Ryan Rees,"National #95. Includes Jamie Paris on loan from Team Sigil, the national #1."
26,Trash Wargaming,1576,1571,5,Ashley Farn,1666,1571,93,5,Nathan Snelson,National #93. Two squads registered. Weak Spring result (52nd).
27,"Death Korps of Queens Road, Honey Badgers",1576,1576,5,martin brown,1695,1576,,0,martin brown,"One of three DKQR squads here. DKQR's registered NTR entries sit at #43 and #69 under different squad names. They are a Leicester club and regular supporters of events at this venue, so expect a home crowd. Rob Hassall is a guest from DeadRedGaming."
28,Waaagh Boys,1565,1535,5,Giulio Sinibaldi,1630,1535,16,30,Oliver Wheeler,"National #16 but only 35th on squad Elo - the ranking is well ahead of current individual form. Skipped the Spring ITT, so the rank is stale."
29,Flatcaps and flakcannons,1559,1549,5,Adam Battle,1606,1549,59,10,Adam Battle,Second Flatcaps and Flakcannons squad (club is national #59). See the note on the other Flatcaps entry regarding the inconsistent spelling. Mika Gawin's club is redacted.
30,Krump or Dice Tryin',1547,1547,4,Ross James,1629,1559,,0,Jack JC Chapman,"Two Krump squads here, neither in the national top 100. Four of five rated."
31,Shadowkeepers :: The Chill,1547,1517,4,Christian Etheridge,1537,1522,18,30,Tim Russell,"National #18. Two Shadowkeepers squads here. Form 13th > 38th > 43rd, drifting down."
32,Fire and Dice - Tiger's eye,1544,1534,5,Zan Rashid,1626,1534,41,10,Zan Rashid,"National #41 and the second Fire and Dice squad, sitting 36 places below their Targaryen sister team. Jumped 17 places after an 18th at the Spring ITT, recovering from a dismal 122nd at Winter. Note the roster lowercases 'eye' while the rankings capitalise it."
33,Phoenix40k - Heinous Creatures,1542,1542,5,Matt Fearn,1608,1542,,0,Max DeBarr,One of three Phoenix40k squads here. Phoenix's registered NTR squads sit at #81 and #97 under different names again. Mixed roster - four different clubs.
34,DKQR - Frog,1541,1541,5,Rohan Tesh,1587,1541,,0,Bill Marvin,One of three DKQR squads here. See the Honey Badgers note on the club's national standing.
35,Snake Eyes,1541,1541,4,Jakob Sparrow,1663,1551,,0,Oliver Logan,Not in the national top 100. Four of five rated. Oliver Logan is one of only two Black Templars players in the field.
36,PSSN: Pile of Shame x LWG,1537,1537,5,Nikhil Talwar,1743,1537,,0,Chris Enderby,One of four PSSN squads here. Includes Nikhil Talwar on loan from Team Sigil (national #1) - the squad's strongest player by some margin. Francisco Parga has no club listed.
37,Low Rollers,1536,1536,4,Tymon Jozefowski,1634,1545,,0,Benjamin Crowther,"Not in the national top 100. Mixed squad - players from Low Rollers, [L7] and JustPlay. Jack Harrison's Elo rests on only 15 games."
38,Polaris killer Bs,1534,1534,5,James Holland,1606,1534,,0,Aaron Day,"Second Polaris squad, explicitly the B team. WARNING: contains a James Wilson, and there is ANOTHER James Wilson on Adeptus Mancunian 1. Both have been assigned the same Elo record and at least one is wrong."
39,Blackwater Vikings Black,1531,1526,5,Francisco Marquesini,1564,1526,85,5,Cameron Clack,National #85. Blackwater Vikings field THREE squads here but only two are registered in the national rankings. Francisco Marquesini has no club listed.
40,Tuesday Wizards,1528,1518,3,Matt Puffett,1701,1529,57,10,Dharm Dhanda,"National #57. Only 3 of 5 rated. Includes Matt Puffett on loan from Team Sigil (national #1). Captain listed as 'Dharm Dhanda' but appears on the roster as 'Dharminder Dhanda', whose name also collides in the Elo database."
41,Shut up Kyle,1526,1521,5,Josh Tyler,1571,1521,67,5,Ed Shilcoff,"National #67. The whole squad plays for Sutton Immortals II - the team name is a joke, not the club. Captain is listed as 'Ed Shilcoff' but appears on the player roster as 'Edward Shilcof'."
42,Blackwater Vikings Team Pink,1526,1526,4,Adam Jehan,1564,1533,,0,Adam Jehan,One of three Blackwater Vikings squads. Four of five rated; Ben Clark's Elo rests on only 10 games.
43,Krump or Dice Tryin' B Team,1525,1525,4,Karl Sumner,1622,1531,,0,Dan Ford,Second Krump squad. Explicitly the B team. Two ambiguous name matches.
44,Phoenix40k - Drooling Creatures,1523,1523,5,George Miller,1562,1523,,0,Alfie Cox,"One of three Phoenix40k squads. Possibly related to 'Drooling cretins' at national #68, though the name differs. Captain Alfie Cox's club is 'ludens insipiens'."
45,Forged In The Armoury,1519,1519,5,Henry Taylor,1543,1519,,0,Jack Jackson-Savill,Not in the national top 100. All five rated. Rob Edwards has no club listed.
46,Black Herts,1517,1512,5,Stephen Heron,1563,1512,61,5,Stephen Heron,National #61 but has only played the Autumn ITT this season. Captain Stephen Heron finished 30th of 426 at the Bristol 40K Super Major with World Eaters; he is on Chaos Daemons here.
47,Blackscar Gaming,1517,1517,4,Nate Waite,1624,1521,,0,Tom Balmforth,"Not in the national top 100. Four of five rated, all sharing the club name."
48,Hobby Henchmen II,1516,1511,3,Josh Kent,1553,1518,63,5,Max Berry,"National #63. Poor recent form (104th, then 69th). Only 3 of 5 rated. Hobby Henchmen run 4 registered squads."
49,Phoenix40K - Outrageous Creatures,1513,1513,4,James Climpson,1573,1516,,0,Will Fowler,One of three Phoenix40k squads. Note the roster capitalises this one 'Phoenix40K' and the other two 'Phoenix40k'.
50,Adeptus Mancunian 1,1510,1510,2,James Wilson,1546,1524,,0,James Wilson,Not in the national top 100. Only 2 of 5 players rated - joint weakest evidence base in the field. WARNING: captain James Wilson shares a name with a player on Polaris killer Bs and both got the same Elo record. Dan Jones' club is 'TheDoomMelon (Maidenhead Freeguild)'.
51,Globo Gym,1509,1509,5,Luke Harris,1639,1509,,0,shawn Dominy,"A pickup squad - five players from five different clubs (Globo Gym Purple Cobras, Mind Goblins, The Fighting Mongooses, and two unattached). Luke Harris is on loan from Mind Goblins. No shared team practice should be assumed."
52,PSSN: [L]ooming Table Flip,1509,1509,5,Matthew Yeoh,1565,1509,,0,Matthew Yeoh,One of four PSSN squads here. Two ambiguous name matches. PSSN registered squads are at national #20 and #28.
53,Codex Creeps,1507,1507,4,Corey Trumbley,1575,1509,,0,Sean Clancy,"North American squad - four of five are Canada or US based, mostly United Wargamers. Not on the UK circuit, so no national ranking. Sean Clancy has 99 games of history."
54,Blackwater Vikings Silver,1505,1505,2,Alex Fleet,1516,1512,,0,Robert Quantrell,One of three Blackwater Vikings squads. Only 2 of 5 rated. Alex Nicoll has no club listed.
55,Wet T-shirt saves,1503,1503,1,charles shelley,1514,1514,,0,charles shelley,"Only 1 of 5 players rated. All five play for Charlie's angels of death, so this is a real club squad rather than a pickup team."
56,40Kasuals,1502,1502,5,Damian Corbett,1532,1502,,0,Tim James,Not in the national top 100. All five rated but clustered near the 1500 baseline. Sam Whymark is a guest from Blackwater Vikings; two players have no club listed.
57,The Minutemen 1,1501,1501,1,Jacob Kriegbaum,1503,1503,,0,Jacob Kriegbaum,"Air Force Gaming - a US military gaming organisation. Only 1 of 5 players has an Elo record because they compete in circuits this database barely covers. Treat as a genuine UNKNOWN, not as weak."
58,BDK Gaming,1500,1500,3,Kyle Kitchen,1562,1500,,0,Kyle Kitchen,"Not in the national top 100. Only 3 of 5 rated. Genuine club squad, all five share the club."
59,Beasts of Buckingham,1500,1500,0,-,,,,0,Tom Crook,ZERO of five players have any Elo record at all - the only team in the field with no data whatsoever. Completely unknown quantity. Do not read the mid-table position as a strength assessment.
60,Live and let dice,1500,1500,2,Sam Sanders,1501,1500,,0,Sam Sanders,Only 2 of 5 rated and NO player has a club listed - unusual. Captain Sam Sanders' Elo record is US-based on 10 games.
61,Zero On Primary,1496,1496,1,Matthew Wilson,1479,1479,,0,Max Darby,"Only 1 of 5 players rated. All five share the club name, so a genuine club squad with almost no tournament footprint in this database."
62,Webway Wanderers,1495,1495,4,Matt Smith,1512,1494,,0,Matt Smith,Not in the national top 100. Four of five rated. Matt Smith's name collides three ways in the Elo database and Luke Watson's country is blank.
63,Death Korps of Queens Road - Orca Squadron,1494,1494,4,Martin Freeman,1535,1493,,0,Joe Shaw,One of three DKQR squads here. Captain's club is written 'Death Korps of Queen's Road' with an apostrophe while his teammates' is not - same club.
64,The Minutemen 2,1494,1494,1,Josiah Tejeda,1469,1469,,0,Michael Westfall,Air Force Gaming - see the note on Minutemen 1. Only 1 of 5 rated. Genuine unknown.
65,Finleys Angels,1492,1492,2,Michael Curnow,1491,1481,,0,Alfie Gavagan,Only 2 of 5 rated. Note the team name drops the apostrophe while every player's club has it (Finley's Angels).
66,Cooked Green Dice,1492,1487,2,Josh Hazelwood,1499,1467,62,5,Josh Hazelwood,"National #62, but only 2 of 5 players have an Elo record - a large unknown. James Harrison's record is UAE-based on only 4 games."
67,Team YEET,1490,1490,3,Ed Benson,1506,1483,,0,Phil GC,"Only 3 of 5 rated. Three players from South London Legion (national #53), two unattached including captain 'Phil GC'."
68,The Holy Hand Grenades,1488,1488,5,Nick Zivtins,1557,1488,,0,Chris Steel,Not in the national top 100. All five rated but low. Captain Chris Steel has no club listed while four teammates share the team name.
69,"Live, Laugh, Lascannons",1475,1475,5,Bertie G,1552,1475,,0,Brian Griffin,"Mixed pickup squad - Chaos Coterie, Touch My Mortal Wound and three unattached players. All five rated but low."
70,Carnage Destruction,1472,1472,5,Kieran Taylor,1511,1472,,0,Patrick Easingwood,"Fourth Carnage squad here and the weakest - all five rated but average 1472, over 330 Elo below the top Carnage squad. Carnage register five squads nationally."
71,Adeptus Mancunian,1447,1447,3,Harry Saunderson,1462,1412,,0,Darragh Magee,"Not in the national top 100. Only 3 of 5 rated and the lowest average Elo of any team with data - but that is thin evidence, not proven weakness. Harry Saunderson is a guest from Manchester Hive Wargaming; Sinhin Li has no club listed."
