Threat Rank,Player,Team,Faction,Force Disposition,Elo,Global Elo Rank,Wins,Losses,Draws,Games,Win %,Confidence,Country,Most Recent Event,Club (as listed),Elo Name Matches,Comments
11,Will B,TYPHOON,Space Marines (Astartes),Reconnaissance,1816,126,88,37,2,127,70.1%,High,England,THE BRISTOL 40K SUPER MAJOR,Try Hard Wargaming,1,"Global Elo rank 126. GUEST from Try Hard Wargaming (national #29 family) playing for TYPHOON. CAUTION: the surname is abbreviated to a single letter on the roster, so this Elo match is less reliable than most."
12,Craig Bedford,Carnage,Emperor's Children,Priority Assets,1812,131,103,50,5,158,66.8%,High,England,The North East Open 2026,Carnage,1,Global Elo rank 131. Second-strongest of the four rated Carnage players.
13,Samuel Martin,Team Sigil,Adeptus Mechanicus,Priority Assets,1797,172,56,19,4,79,73.4%,High,England,Warhammer 40000 GT: Warhammer Open Maastricht,Team Sigil,1,"Global Elo rank 172. Strongest player on Team Sigil, the national #1 squad and Spring ITT winners."
14,Alex Nicolic,Team Sigil,Death Guard,Disruption,1793,188,43,18,1,62,70.2%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Head_Hunters,2,"Global Elo rank 188. GUEST - club is Head_Hunters (national #83) playing for Team Sigil, the national #1. Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it."
15,Aidan Brocklehurst,Mind Gobliins,Adeptus Custodes,Disruption,1774,233,138,46,2,186,74.7%,High,England,Cross-Swords War At The Westward X,Mind Goblins,1,"Captain of Mind Gobliins (national #7, 2nd at Spring ITT). Unbroken ITT record back to early 2024 plus the London GT. UKTC's own event preview named him the squad's 'closer' - the player sent into bad matchups to salvage points. Historically plays Sisters and Astra Militarum; he is on Custodes here, so his record was earned on other armies."
16,Jordan Penning,Tuesday Knights,Grey Knights,Purge the Foe,1765,258,79,40,1,120,66.2%,High,England,THE BRISTOL 40K SUPER MAJOR,Tuesday Knights,1,
17,Rowan Hesse,Polaris,Emperor's Children,Disruption,1764,260,63,20,2,85,75.3%,High,England,THE LEEDS 40K SUPER MAJOR,Polaris,1,Elite win rate: 75.3% over 85 games.
18,Mark Pilkington,DeadRedGaming,Emperor's Children,Priority Assets,1764,261,94,30,1,125,75.6%,High,England,South Yorkshire GT 1 2026,DeadRedGaming,1,Elite win rate: 75.6% over 125 games.
19,Nikhil Talwar,PSSN: Pile of Shame x LWG,Emperor's Children,Disruption,1743,332,66,34,3,103,65.5%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Team Sigil,1,"GUEST - club is Team Sigil, the national #1 squad, playing for a PSSN squad. Comfortably the strongest player on that team."
20,Dom Ridley,Polaris,Thousand Sons,Reconnaissance,1734,364,45,13,1,59,77.1%,Medium,England,The North East Open 2026,Polaris,1,Elite win rate: 77.1% over 59 games.
21,Thomas Douch,Fire and Dice - Targaryen,Adepta Sororitas,Priority Assets,1734,366,59,21,1,81,73.5%,High,England,BAF 40K GT 26,Fire and Dice,1,
22,Samuel Smith,Fire and Dice - Targaryen,Chaos Space Marines,Reconnaissance,1725,408,76,21,2,99,77.8%,High,England,WG MARCH 2026 GT - Warhammer 40k Tournament 2000 Points,Fire and Dice,3,Name matches 3 records in the Elo database; the UK record with the most games was used. Verify before relying on it. Elite win rate: 77.8% over 99 games.
23,George Leathley,Sanguine Spanners,Emperor's Children,Priority Assets,1720,427,81,38,3,122,67.6%,High,England,THE LEEDS 40K SUPER MAJOR,Sanguine Spanners,1,
24,Ratnu Vaidya,DeadRedGaming,Chaos Knights,Reconnaissance,1718,446,49,11,1,61,81.1%,High,England,Warhammer 40000 - 2025 World Championships of Warhammer,DeadRedGaming,1,Elite win rate: 81.1% over 61 games.
25,Matthew Langton,Carnage,Tyranids,Disruption,1716,454,68,30,4,102,68.6%,High,England,The North East Open 2026,Carnage,1,
26,Kevin Davies,Carnage Behemoth,Necrons,Purge the Foe,1708,503,82,49,1,132,62.5%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Carnage,1,
27,David Treadgold,Manaforge Games Derby,Necrons,Purge the Foe,1707,508,55,42,1,98,56.6%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,,1,
28,Cayleb Langhals,The Sh[a]meful Suspects - PSSN,Thousand Sons,Priority Assets,1706,513,39,26,1,66,59.8%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Pile of Shame Support Network,1,"Guest - club is listed as Pile of Shame Support Network, not this team."
29,Vincent Stein,Team Sigil,Orks,Take and Hold,1705,520,62,25,0,87,71.3%,High,England,Warhammer 40000 GT: Warhammer Open Maastricht,Team Sigil,1,
30,Anthony Donaldson,TYPHOON,Emperor's Children,Disruption,1703,539,22,7,2,31,74.2%,Medium,England,Winchester 40K GT - May 2026,Life begins at 40K,1,"Guest - club is listed as Life begins at 40K, not this team."
31,Matt Puffett,Tuesday Wizards,Adepta Sororitas,Take and Hold,1701,550,88,61,3,152,58.9%,High,England,PSSN Presents: Dark Sphere May GT,Team Sigil,1,"GUEST - club is Team Sigil, the national #1 squad, playing for Tuesday Wizards."
32,Joe Senior,Carnage Behemoth,Thousand Sons,Priority Assets,1701,553,96,69,3,168,58.0%,High,England,The North East Open 2026,Carnage,1,
33,martin brown,"Death Korps of Queens Road, Honey Badgers",Orks,Take and Hold,1695,598,63,44,0,107,58.9%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Death Korps of Queens Road,1,
34,Chris Taylor,Carnage Chaos,Orks,Take and Hold,1694,604,142,74,5,221,65.4%,High,England,THE LEEDS 40K SUPER MAJOR,Carnage,2,Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it.
35,Chris Cho,Team Sigil,Deathwatch,Purge the Foe,1692,613,47,22,1,70,67.9%,High,England,Dark Sphere February GT,Team Sigil,1,
36,Euan Bedford-Cooper,Fire and Dice - Targaryen,Emperor's Children,Disruption,1692,618,71,16,1,88,81.2%,High,England,Dark Sphere February GT,Fire and Dice,1,Elite win rate: 81.2% over 88 games.
37,Charles Gould,Ballers Brawlers,Dark Angels,Reconnaissance,1688,654,155,94,5,254,62.0%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Ballers Brawlers,1,
38,Jordan Checkley,Vanguard Tactics,Blood Angels,Priority Assets,1684,682,100,49,4,153,66.7%,High,England,Beachhead Brawl 2026,Vanguard Tactics,1,"GLOBAL #1 RANKED BLOOD ANGELS PLAYER as of Feb 2026, earned at the Beachhead Super Major. He is on Blood Angels here - his signature faction, so expect him at full strength."
39,Luke Cook,Ballers Brawlers,Death Guard,Disruption,1679,729,34,22,0,56,60.7%,Medium,England,The North East Open 2026,Ballers Brawlers,2,Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it.
40,Sam Fisher,Manaforge Games Derby,Chaos Space Marines,Disruption,1679,730,43,26,0,69,62.3%,High,England,Warhammer 40000 GT: Warhammer Open UK Games Expo Birmingham,Manaforge Games,1,
41,Mathew Putney,Tuesday Knights,Thousand Sons,Disruption,1677,747,80,37,0,117,68.4%,High,England,The NOTTINGHAM 40K SUPER-MAJOR,Tuesday Knights,1,
42,Reiss Jarvis,Sofa Meta,Blood Angels,Priority Assets,1675,768,44,26,1,71,62.7%,High,England,Winchester 40K GT - May 2026,Sofa Meta,1,
43,Callum Byers,Sanguine Spanners,Chaos Knights,Take and Hold,1674,777,67,35,1,103,65.5%,High,England,THE LEEDS 40K SUPER MAJOR,Sanguine Spanners,1,
44,Carl Cooke,Ballers Brawlers,T'au Empire,Purge the Foe,1674,779,51,31,0,82,62.2%,High,England,THE LEEDS 40K SUPER MAJOR,Ballers Brawlers,1,
45,Stephen Platten,DeadRedGaming,Adeptus Mechanicus,Purge the Foe,1669,813,86,30,0,116,74.1%,High,England,South Yorkshire GT 2,DeadRedGaming,1,
46,Ryan Rees,Shadowkeepers :: The Clueless,Drukhari,Reconnaissance,1667,835,38,21,2,61,63.9%,High,England,THE BRISTOL 40K SUPER MAJOR,Shadowkeepers,1,
47,Ashley Farn,Trash Wargaming,Dark Angels,Reconnaissance,1666,844,101,90,3,194,52.8%,High,England,IV GT Tormenta de Hostias,Trash Wargaming,1,
48,Jakob Sparrow,Snake Eyes,Grey Knights,Take and Hold,1663,868,25,13,0,38,65.8%,Medium,England,THE BRISTOL 40K SUPER MAJOR,Snake Eyes,1,
49,Aneurin Brewer,PSSN: The Wizards of Odds,Drukhari,Reconnaissance,1661,886,28,16,1,45,63.3%,Medium,England,THE SOUTH-COAST 40k SUPER-MAJOR,Pile of Shame Support Network,1,"Guest - club is listed as Pile of Shame Support Network, not this team."
50,Ross Small,Team Stonehammer,Astra Militarum,Purge the Foe,1660,904,23,8,1,32,73.4%,Medium,England,The 36 Chambers,Team Stonehammer,1,
51,Steve Boothroyd,Flapcats and Flackcannons,Adeptus Mechanicus,Reconnaissance,1659,912,32,15,1,48,67.7%,Medium,England,THE LEEDS 40K SUPER MAJOR,Flatcaps and Flakcannons,1,"Guest - club is listed as Flatcaps and Flakcannons, not this team."
52,Dom Maidlow,Mind Goblins,Adeptus Custodes,Take and Hold,1655,955,87,19,1,107,81.8%,High,England,ALL STARS August - Hellstorm's 40K Tournament Series,Mind Goblins,1,Elite win rate: 81.8% over 107 games.
53,Jack Pugh,TYPHOON,Adeptus Custodes,Take and Hold,1654,957,48,30,0,78,61.5%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,TYPHOON,1,
54,Louis Ballington,Mind Goblins,Dark Angels,Reconnaissance,1648,1048,74,30,2,106,70.8%,High,England,THE COVENTRY 40K : 3-Day,Mind Goblins,1,"Captain of Mind Goblins (national #4, 3rd at the Goonhammer Open UK teams event March 2026). UKTC's preview called him 'The Hammer' - the durable problem-solver pick - on Custodes. He has switched to Dark Angels for this event."
55,Stanley Peddle,TYPHOON,Necrons,Purge the Foe,1647,1076,46,28,2,76,61.8%,High,England,THE SOUTH-COAST 40k SUPER-MAJOR,TYPHOON,1,
56,Anthony Keen,The Sh[a]meful Suspects - PSSN,Orks,Take and Hold,1646,1089,37,31,2,70,54.3%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Pile of Shame Support Network,1,"Guest - club is listed as Pile of Shame Support Network, not this team."
57,Jacob Whitehouse,Carnage Behemoth,Emperor's Children,Disruption,1645,1100,58,22,2,82,72.0%,High,England,The North East Open 2026,Carnage,1,
58,Matt Pocock,Flapcats and Flackcannons,Chaos Space Marines,Priority Assets,1645,1098,33,19,0,52,63.5%,Medium,England,THE LEEDS 40K SUPER MAJOR,Flatcaps and Flakcannons,1,"Guest - club is listed as Flatcaps and Flakcannons, not this team."
59,Sam Boardman,Vanguard Tactics,Emperor's Children,Reconnaissance,1641,1142,91,56,3,150,61.7%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Vanguard Tactics,1,
60,Luke Harris,Globo Gym,Emperor's Children,Priority Assets,1639,1179,64,33,3,100,65.5%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Mind Goblins,1,"Guest - club is listed as Mind Goblins, not this team."
61,Brett Keable,Sofa Meta is Bad at Stuff,Adeptus Mechanicus,Priority Assets,1636,1214,43,20,3,66,67.4%,High,England,Winchester 40K GT - May 2026,,1,
62,Rafael Harbinson,TFG Gaming,Emperor's Children,Priority Assets,1636,1218,85,24,0,109,78.0%,High,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Warmasters,1,"GUEST from Warmasters, whose A team is national #3, playing for TFG Gaming. Elite win rate: 78.0% over 109 games."
63,James McMurray,Team Stonehammer,Necrons,Disruption,1634,1235,58,45,0,103,56.3%,High,England,THE LEEDS 40K SUPER MAJOR,Team Stonehammer,1,
64,Tymon Jozefowski,Low Rollers,Drukhari,Reconnaissance,1634,1246,16,3,0,19,84.2%,Low,England,THE LEEDS 40K SUPER MAJOR,[L7],1,"Elo rests on only 19 games, so lightly evidenced."
65,Adam Gill,[REDACTED],Aeldari,Take and Hold,1632,1265,54,28,1,83,65.7%,High,England,The NOTTINGHAM 40K SUPER-MAJOR,[Redacted],1,
66,Giulio Sinibaldi,Waaagh Boys,Space Marines (Astartes),Reconnaissance,1630,1284,47,22,3,72,67.4%,High,England,The 2026 Swordwind Winter Grand Tournament,Waaagh Boys,1,
67,Ross James,Krump or Dice Tryin',Aeldari,Reconnaissance,1629,1309,41,24,0,65,63.1%,High,England,THE BRISTOL 40K SUPER MAJOR,Krump or Dice Tryin',1,
68,Jacob Wells,Carnage Chaos,Imperial Agents,Disruption,1628,1313,87,85,2,174,50.6%,High,England,THE LEEDS 40K SUPER MAJOR,Carnage,2,Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it.
69,Tim Waters,PSSN: The Wizards of Odds,Emperor's Children,Take and Hold,1626,1344,16,8,0,24,66.7%,Medium,England,THE SOUTH-COAST 40k SUPER-MAJOR,Pile of Shame Support Network,1,"Guest - club is listed as Pile of Shame Support Network, not this team."
70,Zan Rashid,Fire and Dice - Tiger's eye,Death Guard,Take and Hold,1626,1345,24,16,0,40,60.0%,Medium,England,THE BIRMINGHAM 40K SUPER MAJOR,Fire and Dice,1,
71,Guy Miscampbell,PSSN: The Wizards of Odds,Deathwatch,Purge the Foe,1625,1359,14,6,0,20,70.0%,Medium,England,THE BRISTOL 40K SUPER MAJOR,Pile of Shame Support Network,1,"Captain of a PSSN squad. On Deathwatch, one of only two Deathwatch players in the entire field. Guest - club is listed as Pile of Shame Support Network, not this team."
72,Jonny Simmons,Mind Gobliins,Adeptus Mechanicus,Priority Assets,1625,1361,68,20,2,90,76.7%,High,England,The NOTTINGHAM 40K SUPER-MAJOR,Mind Goblins,1,Elite win rate: 76.7% over 90 games.
73,Joshua Rhodes,Team Stonehammer,T'au Empire,Reconnaissance,1625,1365,33,28,1,62,54.0%,High,England,THE LEEDS 40K SUPER MAJOR,Team Stonehammer,1,
74,Edward Hearn,Team Sigil,Emperor's Children,Reconnaissance,1625,1371,41,33,1,75,55.3%,High,England,PSSN Presents: Dark Sphere May GT,Team Sigil,1,
75,Nate Waite,Blackscar Gaming,Adeptus Custodes,Purge the Foe,1624,1383,38,21,2,61,63.9%,High,England,THE BRISTOL 40K SUPER MAJOR,Blackscar Gaming,1,
76,Karl Sumner,Krump or Dice Tryin' B Team,Adeptus Custodes,Reconnaissance,1622,1419,14,6,0,20,70.0%,Medium,England,THE BRISTOL 40K SUPER MAJOR,Krump or Dice Tryin',1,
77,Philip Higgs,"Death Korps of Queens Road, Honey Badgers",Aeldari,Reconnaissance,1616,1514,41,25,2,68,61.8%,High,England,THE LEICESTER 40K SUPER MAJOR,Death Korps of Queens Road,1,
78,George Smith,Sofa Meta,Emperor's Children,Reconnaissance,1616,1513,21,11,0,32,65.6%,Medium,England,Winchester 40K GT - May 2026,Sofa Meta,2,Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it.
79,Jonny Crabtree,Ballers Brawlers,Thousand Sons,Priority Assets,1615,1532,34,31,0,65,52.3%,High,England,The North East Open 2026,Ballers Brawlers,1,
80,Matt Fearn,Phoenix40k - Heinous Creatures,Tyranids,Reconnaissance,1608,1662,15,9,1,25,62.0%,Medium,England,THE BIRMINGHAM 40K SUPER MAJOR,Gains Workshop,1,"Guest - club is listed as Gains Workshop, not this team."
81,Eliot Osborne,[REDACTED],Grey Knights,Disruption,1608,1678,6,2,0,8,75.0%,Low,England,Warhammer 40000 GT: Warhammer Open UK Games Expo Birmingham,[Redacted],1,"Elo rests on only 8 games, so lightly evidenced."
82,Max DeBarr,Phoenix40k - Heinous Creatures,Space Marines (Astartes),Take and Hold,1607,1695,44,22,1,67,66.4%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Phoenix40K,1,
83,Jamie Chapman,Mind Goblins,Chaos Space Marines,Purge the Foe,1607,1701,57,31,2,90,64.4%,High,England,THE COVENTRY 40K : 2-Day,Mind Goblins,2,Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it.
84,James Holland,Polaris killer Bs,Imperial Knights,Take and Hold,1606,1719,25,10,0,35,71.4%,Medium,England,THE LEEDS 40K SUPER MAJOR,Polaris,1,
85,Adam Battle,Flatcaps and flakcannons,Tyranids,Reconnaissance,1606,1731,29,19,0,48,60.4%,Medium,England,THE LEEDS 40K SUPER MAJOR,Flatcaps and Flakcannons,1,
86,Paolo Santarelli,Manaforge Games Derby,Chaos Knights,Reconnaissance,1606,1737,8,1,1,10,85.0%,Low,England,Phoenix 40K Spring GT 2026,Phoenix 40k,1,"Elo rests on only 10 games, so lightly evidenced. Guest - club is listed as Phoenix 40k, not this team."
87,Chris Cuerden,Carnage,Orks,Take and Hold,1604,1763,23,6,1,30,78.3%,Medium,England,The North East Open 2026,Carnage,1,
88,Sir Chargealot,Shadowkeepers :: The Clueless,Blood Angels,Purge the Foe,1602,1810,18,13,2,33,57.6%,Medium,England,THE SOUTH-COAST 40k SUPER-MAJOR,Shadowkeepers,1,
89,James Webster,DeadRedGaming,Thousand Sons,Take and Hold,1601,1829,41,18,1,60,69.2%,High,England,GOLDEN TICKET EVENT Prestige Wargaming Grand Tournament 3 Warhammer 40k,DeadRedGaming,2,Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it.
90,Sean McQuaid,Tuesday Knights,Genestealer Cult,Reconnaissance,1599,1892,36,35,3,74,50.7%,High,England,PSSN Presents: Dark Sphere March GT,Tuesday Knights,1,
91,James Hobbs,Vanguard Tactics,T'au Empire,Disruption,1597,1951,74,55,1,130,57.3%,High,England,THE BRISTOL 40K SUPER MAJOR,Vanguard Tactics,1,"Appears in a ranked ITC top 20 with T'au Empire, which is what he is playing here. Vanguard Tactics."
92,Oliver Gaisford,Mind Goblins,Emperor's Children,Disruption,1596,1975,28,11,1,40,71.3%,Medium,England,WH40K SWC: Qualifier 4 - June,Mind Goblins,1,
93,Brant Wilson,Trash Wargaming,Genestealer Cult,Disruption,1594,2031,58,42,2,102,57.8%,High,England,THE LEICESTER 40K SUPER MAJOR,Trash Wargaming,1,
94,John Swanston,TYPHOON,Chaos Space Marines,Priority Assets,1592,2094,22,11,2,35,65.7%,Medium,England,The UKTC Windsor Super-Major,TYPHOON,1,
95,Alex Ford,The Sh[a]meful Suspects - PSSN,Drukhari,Reconnaissance,1590,2148,24,29,0,53,45.3%,Medium,England,THE SOUTH-COAST 40k SUPER-MAJOR,Pile of Shame Support Network,1,"Guest - club is listed as Pile of Shame Support Network, not this team."
96,George Ford,Shadowkeepers :: The Clueless,Adeptus Custodes,Disruption,1589,2158,44,40,1,85,52.4%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Shadowkeepers,1,
97,Nathan Cocker,DeadRedGaming,Grey Knights,Disruption,1589,2160,42,30,0,72,58.3%,High,England,THE SHEFFIELD 40K GT,DeadRedGaming,1,
98,Rohan Tesh,DKQR - Frog,Space Marines (Astartes),Take and Hold,1587,2236,22,14,0,36,61.1%,Medium,England,THE LEICESTER 40K SUPER MAJOR,Death Korps of Queens Road,1,"Guest - club is listed as Death Korps of Queens Road, not this team."
99,James Gascoine,[REDACTED],Dark Angels,Reconnaissance,1586,2254,40,33,3,76,54.6%,High,England,THE LEEDS 40K SUPER MAJOR,Manaforge Games,1,"Guest - club is listed as Manaforge Games, not this team."
100,Sam Parker-Hully,Sanguine Spanners,Genestealer Cult,Reconnaissance,1583,2344,40,20,2,62,66.1%,High,England,THE LEEDS 40K SUPER MAJOR,Sanguine Spanners,1,
101,Sam Dearman,"Death Korps of Queens Road, Honey Badgers",Chaos Space Marines,Purge the Foe,1582,2365,38,40,0,78,48.7%,High,England,Willen Games April Grand Tournament,Death Korps of Queens Road,1,
102,Mark Pocock,Flapcats and Flackcannons,Space Marines (Astartes),Disruption,1581,2391,33,11,2,46,73.9%,Medium,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Flatcaps and Flakcannons,1,"Guest - club is listed as Flatcaps and Flakcannons, not this team."
103,Shaun Turner,Sofa Meta,Adepta Sororitas,Take and Hold,1579,2443,22,14,0,36,61.1%,Medium,England,Beachhead Brawl 2026,Sofa Meta,1,
104,Mika Gawin,Flatcaps and flakcannons,Emperor's Children,Disruption,1579,2457,19,10,1,30,65.0%,Medium,England,THE LEEDS 40K SUPER MAJOR,[Redacted],1,"Guest - club is listed as [Redacted], not this team."
105,Ben Hocking,TFG Gaming,Tyranids,Disruption,1575,2601,28,14,0,42,66.7%,Medium,England,The MANCHESTER 40k SUPER-MAJOR,TFG Gaming,1,
106,Corey Trumbley,Codex Creeps,Chaos Daemons,Purge the Foe,1575,2611,41,21,1,63,65.9%,High,Canada,Warhammer 40000 - 2025 World Championships of Warhammer,United Wargamers,1,"Based in Canada, so likely outside the UK team circuit. Guest - club is listed as United Wargamers, not this team."
107,Callum Evans,Trash Wargaming,Thousand Sons,Priority Assets,1574,2677,17,13,0,30,56.7%,Medium,England,South Yorkshire GT 1 2026,Trash Wargaming,1,
108,James Climpson,Phoenix40K - Outrageous Creatures,Chaos Knights,Reconnaissance,1573,2704,15,8,1,24,64.6%,Medium,England,THE SHEFFIELD 40K GT,Phoenix40K,1,
109,Jack Harrison,Low Rollers,Chaos Daemons,Purge the Foe,1572,2777,9,6,0,15,60.0%,Low,England,THE BIRMINGHAM 40K SUPER MAJOR,JustPlay,2,"Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it. Elo rests on only 15 games, so lightly evidenced. Guest - club is listed as JustPlay, not this team."
110,Josh Tyler,Shut up Kyle,T'au Empire,Reconnaissance,1571,2814,13,7,0,20,65.0%,Medium,England,THE COVENTRY 40K : 2-Day,Sutton Immortals II,1,"Guest - club is listed as Sutton Immortals II, not this team."
111,Graham Russell,Tuesday Knights,Orks,Take and Hold,1569,2881,78,65,4,147,54.4%,High,England,The NOTTINGHAM 40K SUPER-MAJOR,Tuesday Knights,1,
112,Richard Field,[REDACTED],Necrons,Purge the Foe,1569,2886,22,12,1,35,64.3%,Medium,England,Peterborough Slam! - Inspired GT,[Redacted],1,
113,James Evans,Ballers Brawlers,Adeptus Custodes,Take and Hold,1565,3049,25,24,0,49,51.0%,Medium,England,THE LEEDS 40K SUPER MAJOR,Ballers Brawlers,2,Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it.
114,Matthew Yeoh,PSSN: [L]ooming Table Flip,Imperial Knights,Priority Assets,1565,3069,6,3,1,10,65.0%,Low,England,THE SOUTH-COAST 40k SUPER-MAJOR,Pile of Shame Support Network,1,"Elo rests on only 10 games, so lightly evidenced. Guest - club is listed as Pile of Shame Support Network, not this team."
115,Seth Bryan,Sofa Meta is Bad at Stuff,Orks,Disruption,1565,3091,26,23,1,50,53.0%,Medium,England,Oxford Onslaught 5,The Sofa Meta,1,
116,Chris Boulton,DKQR - Frog,Adeptus Custodes,Reconnaissance,1565,3098,9,7,0,16,56.2%,Low,England,Willen Games April Grand Tournament,Death Korps of Queens Road,1,"Elo rests on only 16 games, so lightly evidenced. Guest - club is listed as Death Korps of Queens Road, not this team."
117,Adam Jehan,Blackwater Vikings Team Pink,Dark Angels,Disruption,1564,3125,12,7,0,19,63.2%,Low,England,The UKTC Windsor Super-Major,Blackwater Vikings,1,"Elo rests on only 19 games, so lightly evidenced."
118,Francisco Marquesini,Blackwater Vikings Black,Grey Knights,Take and Hold,1564,3122,8,4,0,12,66.7%,Low,England,Warhammer 40000 GT: Warhammer Open UK Games Expo Birmingham,,1,"Elo rests on only 12 games, so lightly evidenced."
119,Ed Paszek,Carnage Chaos,Adeptus Custodes,Purge the Foe,1563,3159,75,55,3,133,57.5%,High,England,South Yorkshire GT 1 2026,adeptus ineptus,1,"Guest - club is listed as adeptus ineptus, not this team."
120,Stephen Heron,Black Herts,Chaos Daemons,Reconnaissance,1563,3167,18,11,1,30,61.7%,Medium,England,The UKTC Windsor Super-Major,Black Herts,1,"Captain of Black Herts. Finished 30th of 426 players at the Bristol 40K Super Major with World Eaters. He is on Chaos Daemons here, so that result was on a different army."
121,Dean Goldhawk,Krump or Dice Tryin',Blood Angels,Purge the Foe,1563,3168,12,8,0,20,60.0%,Medium,England,THE BRISTOL 40K SUPER MAJOR,Krump or Dice Tryin',1,
122,Kyle Kitchen,BDK Gaming,Leagues of Votann,Priority Assets,1562,3209,15,13,2,30,53.3%,Medium,England,THE BIRMINGHAM 40K SUPER MAJOR,BDK Gaming,1,
